,identity,rf_0,rf_1,rf_2,rf_3,ll_rf_0,ll_rf_1,ll_rf_2
0,3.8333333333333335,3.1666666666666665,4.0,4.333333333333333,4.5,3.0,2.8333333333333335,4.166666666666667
1,3.6666666666666665,3.6666666666666665,4.0,4.0,4.0,3.6666666666666665,3.5,4.166666666666667
2,4.333333333333333,4.166666666666667,4.0,3.5,4.166666666666667,3.5,3.5,4.0
3,4.0,3.3333333333333335,3.6666666666666665,4.0,4.166666666666667,4.0,4.0,4.0
4,3.8333333333333335,4.5,3.6666666666666665,4.0,3.6666666666666665,4.5,4.333333333333333,4.166666666666667
5,4.0,4.166666666666667,4.333333333333333,4.333333333333333,4.833333333333333,4.0,4.166666666666667,3.5
6,4.166666666666667,4.0,4.166666666666667,4.0,4.166666666666667,4.333333333333333,3.8333333333333335,4.166666666666667
7,4.0,4.333333333333333,4.0,3.1666666666666665,4.0,4.0,4.166666666666667,3.3333333333333335
8,4.0,4.833333333333333,4.0,3.8333333333333335,4.333333333333333,4.0,3.8333333333333335,4.166666666666667
9,4.0,4.5,3.8333333333333335,4.5,4.0,4.0,4.5,4.333333333333333
10,4.0,4.0,4.666666666666667,4.166666666666667,4.333333333333333,4.166666666666667,4.166666666666667,4.166666666666667
11,4.0,4.833333333333333,4.333333333333333,4.833333333333333,4.5,4.166666666666667,4.166666666666667,4.166666666666667
12,4.666666666666667,4.166666666666667,4.666666666666667,4.166666666666667,4.666666666666667,4.833333333333333,4.0,3.8333333333333335
13,4.166666666666667,5.0,4.666666666666667,4.5,3.8333333333333335,4.5,4.666666666666667,4.333333333333333
14,4.0,4.166666666666667,4.0,4.0,4.833333333333333,4.0,4.666666666666667,4.0
15,4.0,4.333333333333333,4.666666666666667,4.166666666666667,4.833333333333333,4.833333333333333,4.333333333333333,4.666666666666667
16,4.166666666666667,4.5,4.666666666666667,4.666666666666667,4.666666666666667,4.0,3.6666666666666665,4.333333333333333
17,3.3333333333333335,4.333333333333333,4.833333333333333,4.0,4.166666666666667,4.0,4.833333333333333,3.8333333333333335
