,identity,rf_0,rf_1,rf_2,rf_3,ll_rf_0,ll_rf_1,ll_rf_2
0,3.1666666666666665,4.0,3.6666666666666665,3.8333333333333335,3.5,2.3333333333333335,2.0,3.1666666666666665
1,2.1666666666666665,3.8333333333333335,3.8333333333333335,4.0,4.0,2.8333333333333335,1.8333333333333333,2.3333333333333335
2,2.1666666666666665,4.0,3.8333333333333335,4.0,4.0,2.5,2.3333333333333335,3.0
3,4.0,3.3333333333333335,3.5,3.8333333333333335,4.0,3.8333333333333335,2.6666666666666665,2.6666666666666665
4,3.3333333333333335,4.0,4.0,4.0,4.833333333333333,3.6666666666666665,3.8333333333333335,3.5
5,3.8333333333333335,4.0,4.0,2.8333333333333335,3.6666666666666665,3.3333333333333335,3.8333333333333335,3.3333333333333335
6,4.166666666666667,3.8333333333333335,4.0,4.5,4.166666666666667,3.6666666666666665,4.0,3.5
7,4.166666666666667,4.0,4.166666666666667,4.333333333333333,4.166666666666667,4.166666666666667,3.1666666666666665,4.0
8,4.0,4.0,4.0,4.0,4.5,4.166666666666667,3.8333333333333335,3.8333333333333335
9,4.833333333333333,4.5,4.166666666666667,4.166666666666667,4.333333333333333,4.833333333333333,4.666666666666667,4.166666666666667
10,4.5,5.0,4.5,4.333333333333333,5.0,4.666666666666667,4.833333333333333,4.333333333333333
11,4.166666666666667,4.333333333333333,4.833333333333333,4.5,4.666666666666667,4.833333333333333,4.0,4.666666666666667
12,4.166666666666667,3.6666666666666665,4.833333333333333,4.666666666666667,4.833333333333333,5.0,4.0,4.833333333333333
13,4.666666666666667,4.166666666666667,4.166666666666667,4.166666666666667,5.0,4.5,4.666666666666667,4.833333333333333
14,4.5,4.666666666666667,4.333333333333333,4.833333333333333,4.833333333333333,4.666666666666667,5.0,4.666666666666667
15,4.666666666666667,4.166666666666667,4.333333333333333,4.666666666666667,4.833333333333333,4.333333333333333,4.833333333333333,4.5
16,4.833333333333333,4.5,4.166666666666667,3.8333333333333335,4.833333333333333,3.8333333333333335,4.833333333333333,4.666666666666667
17,5.0,4.5,4.833333333333333,4.666666666666667,4.833333333333333,4.5,4.0,4.666666666666667
